VERANDEREN-A.mov,VERANDEREN-A,ROT,andersom, veranderen, switchen, omzetten, verandering,,,,,,,,,
ZICH-BEDENKEN.mov,ZICH-BEDENKEN,ROT,zich bedenken, van gedachten veranderen, zich bekeren, terugdraaien van voorstel/idea ,,,,,,,,,,
ERGENS-A.mov,ERGENS-A,WID,ergens, daar ergens,,,,,,,,,,,,
OMGEVING-A.mov    ,OMGEVING-A,WID,omgeving, zij, hen, de mensen, milieu, natuur, jullie, allemaal, klimaat,,,,,
PARASOL.mov,PARASOL,WID,parasol, koepel,,,,,,,,,,,,
REGIO-A.mov,REGIO-A,WID,gebied, omgeving, regio, landelijk, overal,,,,,,,,,
RUIMTE-A.mov,RUIMTE-A,WID,gebied, familie, omgeving, algemeen, maatschappij, groep mensen, regio, situatie, milieu wijk, kamer, plaats, ruimte, ergens, buurt
SOMS-A.mov,SOMS-A,WID,soms,,,,,,,,,,,,,
,VAAG,WID,vaag, niet duidelijk, onduidelijk,,,,,,,,,,,
VERSPREIDEN-A.mov,VERSPREIDEN-A,WID,verspreiden, netwerk,,,,,,,,,,,,
,VERWARD-A,WID,verward, verwarring, in de war, war, vergissen, vergissing, zich vergissen, verwarren,,,,,,
WAAR-A.mov,WAAR-A,WID,waarom, waar,,,,,,,,,,,,
SCHAKELEN-LICHT.mov,SCHAKELEN-LICHT,ROT,licht aanschakelen,,,,,,,,,,,,,
